title,price_gbp,price_inr,star_rating,in_stock,category
It's Only the Himalayas,45.17,5794.41,2,True,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,6340.88,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,6269.04,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,4738.66,2,True,Travel
Under the Tuscan Sun,37.33,4788.69,3,True,Travel
A Summer In Europe,44.34,5687.94,2,True,Travel
The Great Railway Bazaar,30.54,3917.67,1,True,Travel
A Year in Provence (Provence #1),56.88,7296.57,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2977.38,1,True,Travel
Neither Here nor There: Travels in Europe,38.95,4996.51,3,True,Travel
"1,000 Places to See Before You Die",26.08,3345.54,5,True,Travel
Sharp Objects,47.82,6134.35,4,True,Mystery
"In a Dark, Dark Wood",19.63,2518.14,1,True,Mystery
The Past Never Ends,56.5,7247.82,4,True,Mystery
A Murder in Time,16.64,2134.58,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,5657.15,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,6954.06,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1785.66,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1371.31,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,6202.34,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2146.12,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,3437.9,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,6973.3,4,True,Mystery
Most Wanted,35.28,4525.72,3,True,Mystery
Hide Away (Eve Duncan #20),11.84,1518.84,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,7630.09,3,True,Mystery
The Widow,27.26,3496.91,2,True,Mystery
Playing with Fire,13.71,1758.72,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,3254.46,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,6709.04,5,True,Mystery
